"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 16:20:38 CST 2019","Fri Aug 02 16:20:38 CST 2019","2","","test_alluera","TestContact","","","test_login1",""
"passed","Fri Aug 02 16:20:38 CST 2019","Fri Aug 02 16:20:38 CST 2019","0","","test_alluera","TestContact","","","test_login3",""
"passed","Fri Aug 02 16:20:38 CST 2019","Fri Aug 02 16:20:38 CST 2019","1","","test_alluera","TestContact","","","test_login2",""
